On ^in++++=ON
Iv ^np+++??+=IV,
, ^zz++++=EXTRAWORD
V ^zz++++=V,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Ix ^np+++??+=IX
and ^cc++++=and
Qafzeh ^np+++??+=Qafzeh
Iii ^np+++??+=III,
, ^zz++++=EXTRAWORD
Vi ^np+++??+=VI,
, ^zz++++=EXTRAWORD
Ix ^np+++??+=IX)
) ^zz++++=EXTRAWORD
and ^cc++++=and
two ^cd++++=two
fossils ^nns++++=fossils
presumed ^vwbn+vprv++xvbn+=presumed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
Neandertals ^nns+nom++??+=Neandertals
( ^zz++++=(Tabun
tabun ^nn+++??+=EXTRAWORD
and ^cc++++=and
Amud ^np+++??+=Amud)
) ^zz++++=EXTRAWORD
all ^abn++++=all
from ^in++++=from
Levant ^np+++??+=Levant
Kramer ^np+++??+=Kramer
concludes ^vbz+vprv+++=concludes
that ^tht+vcmp+++=that
morphological ^jj+atrb+++=morphological
differences ^nns+nom+++=differences
are ^vb+ber+vrb++=are
not ^xnot++not++=not
great ^np++++=great
enough ^qlp++++=enough
to ^to++++=to
make ^vbi++++=make
the ^ati++++=the
Neandertals ^nns+nom++??+=Neandertals
a ^at++++=a
separate ^nn+nom+++=separate
species ^nns++++=species
in ^in++++=in
this ^dt+dem+++=this
region ^nn++++=region.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
include ^vb++++=include
thirteen ^cd++++=thirteen
other ^ap++++=other
skulls ^nns++++=skulls
from ^in++++=from
around ^in++++=around
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
from ^in++++=from
different ^jj+atrb+++=different
locations ^nns+nom+++=locations
throughout ^in++++=throughout
Eurasia ^np+++??+=Eurasia.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
skulls ^nns++++=skulls
are ^vb+ber+aux++=are
composed ^vpsv++agls+xvbnx+=composed
of ^in++++=of
six ^cd++++=six
presumed ^vbd+vprv++xvbn+=presumed
Neandertals ^nns+nom++??+=Neandertals,
, ^zz++++=EXTRAWORD
six ^cd++++=six
presumed ^vbd+vprv++xvbn+=presumed
modern ^jj+atrb+++=modern
humans ^nns++++=humans,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
non ^&fw++++=non-human
- ^zz++++=EXTRAWORD
human ^jj+atrb+++=EXTRAWORD
primate ^nn+nom+++=primate
( ^zz++++=(KNM-ER
knm ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
er ^&fw++++=EXTRAWORD
3733 ^cd++++=3733)
) ^zz++++=EXTRAWORD
as ^in++++=as
an ^at++++=an
out ^rp+pl+++=out-group
- ^zz++++=EXTRAWORD
group ^nn++++=EXTRAWORD
and ^cc++++=and
are ^vb+ber+aux++=are
employed ^vpsv++agls+xvbnx+=employed
to ^in++++=to
test ^nn++++=test
their ^pp$+pp3+++=their
methodology ^nn++++=methodology.
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
analyze ^vb+++??+=analyze
twelve ^cd++++=twelve
character ^nn+nom+++=character
traits ^nns++++=traits
using ^vwbg+++xvbg+=using
various ^jj+atrb+++=various
subsets ^nns+++??+=subsets
of ^in++++=of
these ^dt+dem+++=these
seventeen ^cd++++=seventeen
skulls ^nns++++=skulls
with ^in++++=with
the ^ati++++=the
program ^nn+++??+=program
Paup* ^np+++??+=PAUP*
4.0 ^cd++++=4.0
and ^cc++++=and
create ^vb++++=create
various ^jj+atrb+++=various
phylogenies ^nns+++??+=phylogenies.
. ^zz++++=EXTRAWORD
( ^zz++++=(Kramer
kramer ^jjr++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001)
) ^zz++++=EXTRAWORD
From ^in++++=From
their ^pp$+pp3+++=their
analysis ^nn++++=analysis
of ^in++++=of
just ^rb+emph+++=just
the ^ati++++=the
Levant ^np+++??+=Levant
fossils ^nns++++=fossils
and ^cc++++=and
the ^ati++++=the
out ^rp+pl+++=out-group
- ^zz++++=EXTRAWORD
group ^nn++++=EXTRAWORD
fossil ^nn++++=fossil,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
do ^vb+do+aux++=do
not ^xnot++not++=not
find ^vb+vprv+++=find
a ^at++++=a
separate ^nn+nom+++=separate
clade ^nn+++??+=clade
for ^in++++=for
the ^ati++++=the
Neandertals ^nns+nom++??+=Neandertals
and ^cc++++=and
other ^ap++++=other
Hominids ^np+++??+=Hominids
of ^in++++=of
Levant ^np+++??+=Levant
( ^zz++++=(Kramer
kramer ^jjr++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
an ^at++++=an
analysis ^nn++++=analysis
of ^in++++=of
just ^rb+emph+++=just
the ^ati++++=the
non ^&fw++++=non-Levant
- ^zz++++=EXTRAWORD
levant ^nn++++=EXTRAWORD
male ^jj+atrb+++=male
Neandertals ^nns+nom++??+=Neandertals,
, ^zz++++=EXTRAWORD
the ^ati++++=the
non ^&fw++++=non-Levant
- ^zz++++=EXTRAWORD
levant ^nn++++=EXTRAWORD
male ^jj+atrb+++=male
modern ^jj+atrb+++=modern
humans ^nns++++=humans,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
out ^rp+pl+++=out-group
- ^zz++++=EXTRAWORD
group ^nn++++=EXTRAWORD
reveals ^nns+nom+++=reveals
a ^at++++=a
separate ^nn+nom+++=separate
clade ^nn+++??+=clade
for ^in++++=for
the ^ati++++=the
Neandertals ^nns+nom++??+=Neandertals;
; ^zz++++=EXTRAWORD
this ^dt+dem+++=this
abnormality ^nn+nom+++=abnormality
is ^vbz+bez+aux++=is
brushed ^vpsv++agls+xvbnx+=brushed
off ^rb+phrv+++=off
as ^in++++=as
outside ^jjb++++=outside
the ^ati++++=the
aim ^nn++++=aim
of ^in++++=of
the ^ati++++=the
research ^nn++++=research
and ^cc++++=and,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
insignificant ^jj++++=insignificant.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
curious ^jj++++=curious,
, ^zz++++=EXTRAWORD
the ^ati++++=the
researchers ^nns+nom+++=researchers
never ^rb++++=never
present ^jj++++=present
or ^cc++++=or
discus ^nns+++??+=discus
a ^at++++=a
Paup* ^np+++??+=PAUP*
4.0 ^cd++++=4.0
analysis ^nn++++=analysis
of ^in++++=of
all ^rb++++=all
seventeen ^cd++++=seventeen
fossils ^nns++++=fossils,
, ^zz++++=EXTRAWORD
again ^rb+tm+++=again
their ^pp$+pp3+++=their
reasoning ^xvbg+++xvbg+=reasoning
being ^vbg+beg++xvbg+=being
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
only ^rb+down+splt++=only
concerned ^vpsv++agls+xvbnx+=concerned
with ^in++++=with
the ^ati++++=the
Levantine ^np+++??+=Levantine
relationships ^nns+nom+++=relationships.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
then ^rn+tm+++=then
conclude ^vb+vprv+++=conclude
that ^tht+vcmp+++=that
inbreeding ^nn++++=inbreeding
was ^vbd+bedz+aux++=was
present ^vb++++=present
at ^rb++++=at
Levant ^np+++??+=Levant
and ^cc++++=and,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
possible ^jj++++=possible
throughout ^in++++=throughout
the ^ati++++=the
old ^jj++++=old-world,
- ^zz++++=EXTRAWORD
world ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thereby ^rb+cnj+++=thereby,
, ^zz++++=EXTRAWORD
supporting ^vbg+++xvbg+=supporting
a ^at++++=a
multiregional ^jj+atrb+++=multiregional
inbreeding ^nn++++=inbreeding
model ^nn++++=model.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
conclusion ^nn++++=conclusion
is ^vbz+bez+aux++=is
not ^xnot++not++=not
easily ^rb++++=easily
reconciled ^vbd+++xvbn+=reconciled
with ^in++++=with
the ^ati++++=the
data ^nns++++=data,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
suggests ^vbz+vpub+tht0++=suggests
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
if ^cs+cnd+++=if
only ^rb+down+++=only
in ^in++++=in
Europe ^np++++=Europe,
, ^zz++++=EXTRAWORD
two ^cd++++=two
separate ^nn+nom+++=separate
clades ^nns+++??+=clades
of ^in++++=of
Neandertals ^nns+nom++??+=Neandertals
and ^cc++++=and
modern ^jj+atrb+++=modern
humans ^nns++++=humans
existed ^vbd+++xvbn+=existed
( ^zz++++=(Kramer
kramer ^jjr++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
research ^nn++++=research
scarcely ^rb+down+++=scarcely
supports ^vbz++++=supports
the ^ati++++=the
multiregional ^jj+atrb+++=multiregional
hypothesis ^nn++++=hypothesis
and ^cc++++=and
may ^md+pos+++=may
even ^rb++++=even
support ^nn++++=support
Replacement ^nn+nom+++=Replacement.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
Mark ^vb++++=Mark
Collard ^np++++=Collard's
's ^$++++=EXTRAWORD
research ^nn++++=research,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
pairwise ^rb++++=pairwise
difference ^nn+nom+++=difference
analysis ^nn++++=analysis
for ^in++++=for
morphological ^jj+atrb+++=morphological
cranial ^jj+atrb+++=cranial
features ^nns++++=features,
, ^zz++++=EXTRAWORD
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
the ^ati++++=the
theoretical ^jj+atrb+++=theoretical
assumptions ^nns+nom+++=assumptions
made ^vwbn+++xvbn+=made
by ^in++++=by
Kramer ^np+++??+=Kramer
in ^in++++=in
the ^ati++++=the
aforementioned ^jj+atrb++xvbn+=aforementioned
study ^nn++++=study
may ^md+pos+++=may
be ^vb+be+aux++=be
suspect ^vb+vprv+++=suspect
( ^zz++++=(Collard
collard ^nn+++??+=EXTRAWORD
& ^zz++++=&
Franchino ^np+++??+=Franchino,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
Collard ^np+++??+=Collard
proposes ^vbz+vsua+++=proposes
that ^tht+vcmp+++=that
the ^ati++++=the
pairwise ^rb++++=pairwise
analysis ^nn++++=analysis
popular ^jj++++=popular
for ^in++++=for
Dna ^np+++??+=DNA
research ^nn++++=research
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
reliable ^jj++++=reliable
for ^in++++=for
cranial ^jj+atrb+++=cranial
morphology ^nn++++=morphology
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
Collard ^np+++??+=Collard
attempts ^vb++++=attempts
to ^to+vcmp+++=to
reconstruct ^vbi++++=reconstruct
the ^ati++++=the
phylogenies ^nns+++??+=phylogenies
of ^in++++=of
various ^jj+atrb+++=various
extant ^jj+atrb+++=extant
primates ^nns+nom+++=primates
groups ^nns++++=groups
( ^zz++++=(Homo,
homo ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Pan ^vb++++=Pan,
, ^zz++++=EXTRAWORD
Gorilla ^np+++??+=Gorilla,
, ^zz++++=EXTRAWORD
Pongo ^np+++??+=Pongo,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Hylobates ^nns+nom++??+=Hylobates)
) ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
craniodental ^jj+atrb+++=craniodental
and ^cc+phrs+++=and
soft ^jj+atrb+++=soft
tissue ^nn++++=tissue
features ^nns++++=features,
, ^zz++++=EXTRAWORD
many ^ap++++=many
similar ^jj++++=similar
to ^in++++=to
the ^ati++++=the
features ^nns++++=features
used ^vwbn+++xvbn+=used
by ^in++++=by
Kramer ^np+++??+=Kramer
( ^zz++++=(Collard
collard ^nn+++??+=EXTRAWORD
& ^zz++++=&
Franchino ^np+++??+=Franchino,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
Kramer ^np+++??+=Kramer
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
groups ^nns++++=groups
have ^vb+hv+aux++=have
known ^vprf++tht0+xvbnx+=known
phylogenies ^nns+++??+=phylogenies
based ^vwbn+++xvbn+=based
on ^in++++=on
molecular ^jj+atrb+++=molecular
data ^nns++++=data
and ^cc++++=and
other ^ap++++=other
non ^&fw++++=non-facial
- ^zz++++=EXTRAWORD
facial ^jj+atrb+++=EXTRAWORD
morphological ^jj+atrb+++=morphological
differences ^nns+nom+++=differences
( ^zz++++=(Boyd
boyd ^np++++=EXTRAWORD
& ^zz++++=&
Silk ^nn++++=Silk,
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003;
; ^zz++++=EXTRAWORD
Collard ^np+++??+=Collard
Collard ^np+++??+=Collard
& ^zz++++=&
Franchino ^np+++??+=Franchino,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Collard ^np+++??+=Collard
attempts ^vb++++=attempts
to ^in+vcmp+++=to
make ^vbi++++=make
phylogenies ^nns+++??+=phylogenies
based ^vbd+++xvbn+=based
on ^in+strn+++=on:
: ^zz++++=EXTRAWORD
[ ^zz++++=[1]
1 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
96 ^cd++++=96
qualitative ^jj+atrb+++=qualitative
craniodental ^nn+nom+++=craniodental
features ^nns++++=features,
, ^zz++++=EXTRAWORD
[ ^zz++++=[2]
2 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
171 ^cd++++=171
soft ^jj+atrb+++=soft
tissue ^nn++++=tissue
characters ^nns+nom+++=characters
( ^zz++++=(qualitative),
qualitative ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
[ ^zz++++=[3]
3 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
129 ^cd++++=129
quantitative ^jj+atrb+++=quantitative
craniodental ^nn+nom+++=craniodental
characters ^nns+nom+++=characters,
, ^zz++++=EXTRAWORD
all ^abn++++=all
from ^in++++=from
two ^cd++++=two
sets ^nns++++=sets
of ^in++++=of
182 ^cd++++=182
and ^cc++++=and
100 ^cd++++=100
individuals ^nns+nom+++=individuals
( ^zz++++=(combination
combination ^nn+nom+++=EXTRAWORD
of ^in++++=of
all ^abn++++=all
species ^nn++++=species)
) ^zz++++=EXTRAWORD
with ^in++++=with
at ^rb++++=at
least ^rb"++++=least
20 ^cd++++=20
individuals ^nns+nom+++=individuals
from ^in++++=from
each ^dt++++=each
species ^nns++++=species
in ^in++++=in
the ^ati++++=the
sets ^nns++++=sets.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
a ^at++++=a
considerably ^rb++++=considerably
larger ^jjr+atrb+++=larger
data ^nns++++=data
set ^vbd+++xvbn+=set
then ^rn+tm+++=then
the ^ati++++=the
one ^cd1++++=one
used ^vpsv++by+xvbn+=used
by ^in++++=by
Kramer ^np+++??+=Kramer
( ^zz++++=(Collard
collard ^nn+++??+=EXTRAWORD
& ^zz++++=&
Franchino ^np+++??+=Franchino,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
Kramer ^np+++??+=Kramer
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
None ^pn++++=None
of ^in++++=of
the ^ati++++=the
generated ^jj+atrb++xvbn+=generated
phylogenies ^nns+++??+=phylogenies
agree ^vb+vpub+++=agree
with ^in++++=with
the ^ati++++=the
known ^vbn+vprv++xvbn+=known
phylogenies ^nns+++??+=phylogenies
of ^in++++=of
the ^ati++++=the
extant ^jj+atrb+++=extant
primates ^nns+nom+++=primates
( ^zz++++=(Collard
collard ^nn+++??+=EXTRAWORD
& ^zz++++=&
Franchino ^np+++??+=Franchino,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
Collard ^np+++??+=Collard
does ^vbz+doz+aux++=does
not ^xnot++not++=not
use ^vb++++=use
Paup* ^np+++??+=PAUP*
4.0 ^cd++++=4.0
for ^in++++=for
is ^vbz+bez+vrb++=is
analysis ^nn++++=analysis
but ^cc++++=but
a ^at++++=a
different ^jj+atrb+++=different
program ^nn+++??+=program
to ^to++++=to
create ^vbi++++=create
his ^pp$+pp3+++=his
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
Collard ^np++++=Collard's
's ^$++++=EXTRAWORD
research ^nn++++=research
may ^md+pos+++=may
not ^xnot++not++=not
completely ^rb+amp+++=completely
invalidate ^nn+nom+++=invalidate
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
facial ^jj+atrb+++=facial
features ^nns++++=features,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
certainly ^rb++++=certainly
cast ^vb+++xvbn+=cast
doubt ^nn++++=doubt
on ^in++++=on
the ^ati++++=the
practical ^jj+atrb+++=practical
use ^nn++++=use
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Further ^jjb+atrb+++=Further
evidence ^nn+nom+++=evidence
also ^rb++++=also
casts ^nns+++??+=casts
doubt ^nn++++=doubt
on ^in++++=on
the ^ati++++=the
archeological ^jj+atrb+++=archeological
basis ^nn++++=basis
for ^in++++=for
Multiregionalism ^np+nom++??+=Multiregionalism
( ^zz++++=(Lahr,
lahr ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1994 ^cd+date+++=1994;
; ^zz++++=EXTRAWORD
Walter ^np++++=Walter
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
still ^rb++++=still
much ^ap++++=much
debate ^vb++++=debate
on ^in++++=on
the ^ati++++=the
conclusions ^nns++++=conclusions
presented ^vwbn+++xvbn+=presented
above ^in+pl+++=above
( ^zz++++=(Hawks
hawks ^nns+++??+=EXTRAWORD
& ^zz++++=&
Wolpoff ^np+++??+=Wolpoff,
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
next ^ap++++=next
section ^nn+nom+++=section,
, ^zz++++=EXTRAWORD
the ^ati++++=the
genetic ^jj+atrb+++=genetic
evidence ^nn+nom+++=evidence
presented ^vwbn+++xvbn+=presented
will ^md+prd+++=will
generally ^rb+down+splt++=generally
support ^vb++++=support
these ^dt+dem+++=these
conclusions ^nns++++=conclusions,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
invalidate ^nn+nom+++=invalidate
traditional ^jj+atrb+++=traditional
Multiregionalism ^np+nom++??+=Multiregionalism.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
evidence ^nn+nom+++=evidence
will ^md+prd+++=will
also ^rb++splt++=also
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
a ^at++++=a
complete ^jj+atrb+++=complete
replacement ^nn+nom+++=replacement
is ^vbz+bez+vrb++=is
unlikely ^jj+pred+++=unlikely.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
a ^at++++=a
complex ^jj+atrb+++=complex
system ^nn++++=system
with ^in++++=with
more ^ql++++=more
aspects ^nns++++=aspects
of ^in++++=of
Replacement ^nn+nom+++=Replacement,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
some ^dti++++=some
aspects ^nns++++=aspects
Multiregionalism ^np+nom++??+=Multiregionalism,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary.
. ^zz++++=EXTRAWORD
Genetic ^jj+atrb+++=GENETIC
Replacement ^nn+nom+++=REPLACEMENT:
: ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast
to ^in++++=to
Multiregionalism ^np+nom++??+=Multiregionalism,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Replacement ^nn+nom+++=Replacement
model ^nn++++=model
relies ^vbz++++=relies
heavily ^rb++++=heavily
upon ^in++++=upon
genetic ^jj+atrb+++=genetic
evidence ^nn+nom+++=evidence,
, ^zz++++=EXTRAWORD
owing ^in++++=owing
its ^pp$+it+++=its
existence ^nn+nom+++=existence
to ^in++++=to
a ^at++++=a
flawed ^jj+atrb+++=flawed
mtdna ^nn+++??+=mtDNA
( ^zz++++=(mitochondrial
mitochondrial ^jj+atrb+++=EXTRAWORD
Dna ^np+++??+=DNA)
) ^zz++++=EXTRAWORD
analysis ^nn++++=analysis
in ^in++++=in
1987 ^cd+date+++=1987
( ^zz++++=(Templeton,
templeton ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
the ^ati++++=the
models ^nns++++=models
beginnings ^nns++++=beginnings,
, ^zz++++=EXTRAWORD
much ^ap++++=much
more ^rbr++++=more
evidence ^nn+nom+++=evidence
has ^vbz+hvz+aux++=has
arisen ^vprf+++xvbn+=arisen
to ^to++++=to
support ^vbi++++=support
the ^ati++++=the
theory ^nn++++=theory
( ^zz++++=(Jorde
jorde ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Kimmel ^np+++??+=Kimmel,
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999;
; ^zz++++=EXTRAWORD
Quintana ^np+++??+=Quintana-Murci
- ^zz++++=EXTRAWORD
murci ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999;
; ^zz++++=EXTRAWORD
Templeton ^np+++??+=Templeton,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
Thomson ^np++++=Thomson,
, ^zz++++=EXTRAWORD
Pritchard ^np++++=Pritchard,
, ^zz++++=EXTRAWORD
Shen ^np+++??+=Shen,
, ^zz++++=EXTRAWORD
Oefner ^np+++??+=Oefner,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Feldman ^np++++=Feldman,
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Underhill ^np+++??+=Underhill
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Dna ^np+++??+=DNA
evidence ^nn+nom+++=evidence
falls ^vbz++++=falls
fundamentally ^rb++++=fundamentally
in ^in++++=in
two ^cd++++=two
categories ^nns++++=categories:
: ^zz++++=EXTRAWORD
[ ^zz++++=[1]
1 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
comparisons ^nns++++=comparisons
of ^in++++=of
modern ^jj+atrb+++=modern
human ^jj+atrb+++=human
diversity ^nn+nom+++=diversity
and ^cc++++=and
[ ^zz++++=[2]
2 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
comparisons ^nns++++=comparisons
of ^in++++=of
ancient ^jj+atrb+++=ancient
Dna ^np+++??+=DNA
Neandertals ^nns+nom++??+=Neandertals
and ^cc++++=and
Cro ^np+++??+=Cro-Magnon
- ^zz++++=EXTRAWORD
magnon ^nn+++??+=EXTRAWORD
man ^nn++++=man
to ^in++++=to
modern ^jj+atrb+++=modern
humans ^nns++++=humans
( ^zz++++=(Jorde
jorde ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Krings ^np+++??+=Krings
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1997 ^cd+date+++=1997).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
time ^nn++++=time
being ^vwbg+beg++xvbg+=being,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
will ^md+prd+++=will
only ^rb+down+++=only
concern ^nn++++=concern
ourselves ^ppls+pp1+++=ourselves
with ^in++++=with
the ^ati++++=the
modern ^jj+atrb+++=modern
human ^jj+atrb+++=human
diversity ^nn+nom+++=diversity
argument ^nn+nom+++=argument,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
the ^ati++++=the
Neandertal ^np+nom++??+=Neandertal
evidence ^nn+nom+++=evidence
for ^in++++=for
later ^rbr+tm+++=later
discussion ^nn++++=discussion.
. ^zz++++=EXTRAWORD
The ^ati++++=The
modern ^jj+atrb+++=modern
human ^jj+atrb+++=human
diversity ^nn+nom+++=diversity
argument ^nn+nom+++=argument
proposes ^vbz+vsua+++=proposes
that ^tht+vcmp+++=that
given ^vprf+++xvbn+=given
the ^ati++++=the
genetic ^jj+atrb+++=genetic
diversity ^nn+nom+++=diversity
of ^in++++=of
modern ^jj+atrb+++=modern
man ^nn++++=man,
, ^zz++++=EXTRAWORD
a ^at++++=a
large ^jj+atrb+++=large
bottleneck ^nn+++??+=bottleneck
likely ^jj++++=likely
occurred ^jj+++xvbn+=occurred
sometime ^rb++++=sometime
in ^in++++=in
the ^ati++++=the
last ^ap++++=last
100,000 ^cd++++=100,000
years ^nns++++=years
( ^zz++++=(Eller,
eller ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
