Lab ^nn++++=Lab
competitive ^jj+atrb+++=competitive
effect ^nn++++=effect
also ^rb++++=also
have ^vb+hv+vrb++=have
a ^at++++=a
strong ^jj+atrb+++=strong
competitive ^jj+atrb+++=competitive
response ^nn++++=response,
, ^zz++++=EXTRAWORD
the ^ati++++=the
two ^cd++++=two
do ^vb+do+aux++=do
not ^xnot++not++=not
necessarily ^rb++++=necessarily
go ^vb++++=go
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
that ^tht+jcmp+++=that
a ^at++++=a
plant ^nn++++=plant
which ^whp+rel+subj++=which
has ^vbz+hvz+vrb++=has
a ^at++++=a
strong ^jj+atrb+++=strong
competitive ^jj+atrb+++=competitive
effect ^nn++++=effect
is ^vbz+bez+vrb++=is
good ^jj+pred+++=good
at ^in++++=at
hoarding ^vbg+++xvbg+=hoarding
resources ^nns++++=resources
at ^in++++=at
a ^at++++=a
particular ^jj+atrb+++=particular
site ^nn++++=site
and ^cc++++=and
simply ^rb++++=simply
survives ^vbz++++=survives
by ^in++++=by
preventing ^xvbg+++xvbg+=preventing
other ^ap++++=other
species ^nn++++=species
from ^in++++=from
establishing ^xvbg+++xvbg+=establishing
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
experimental ^jj+atrb+++=experimental
model ^nn++++=model
also ^rb++++=also
has ^vbz+hvz+vrb++=has
relevance ^nn+nom+++=relevance
to ^in++++=to
the ^ati++++=the
Lotka ^np+++??+=Lotka-Volterra
- ^zz++++=EXTRAWORD
volterra ^nn+++??+=EXTRAWORD
model ^nn++++=model
for ^in++++=for
competition ^nn+nom+++=competition.
. ^zz++++=EXTRAWORD
In ^to++++=In
order ^vb++++=order
to ^to+vcmp+++=to
test ^vb++++=test
whether ^cs+who+++=whether
stable ^jj+atrb+++=stable
coexistence ^nn+nom+++=coexistence
can ^md+pos+++=can
occur ^vb++++=occur
( ^zz++++=(the
the ^ati++++=EXTRAWORD
effects ^nns++++=effects
of ^in++++=of
intraspecific ^jj+atrb+++=intraspecific
competition ^nn+nom+++=competition
are ^vb+ber+vrb++=are
greater ^jjr+pred+++=greater
than ^in++++=than
interspecific ^jj++++=interspecific),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
would ^md+prd+++=would
have ^md"++pmd"++=have
to ^md+nec+++=to
do ^vb++++=do
an ^at++++=an
additional ^jj+atrb+++=additional
experiment ^nn+nom+++=experiment
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
target ^nn++++=target
and ^cc++++=and
neighbor ^nn++++=neighbor
species ^nn++++=species
were ^vbd+bed+aux++=were
switched ^vpsv++agls+xvbnx+=switched,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
the ^ati++++=the
current ^nn++++=current
set ^vbd+++xvbn+=set-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
only ^rb+down+++=only
determines ^vbz++++=determines
the ^ati++++=the
effect ^nn++++=effect
of ^in++++=of
fescue ^nn+++??+=fescue
on ^in++++=on
clover ^nn++++=clover
and ^cc++++=and
not ^xnot++not++=not
vice ^nn++++=vice-versa.
- ^zz++++=EXTRAWORD
versa ^rb"++++=EXTRAWORD
. ^zz++++=EXTRAWORD
With ^in++++=With
data ^nns++++=data
from ^in++++=from
both ^abx++++=both
density ^nn+nom+++=density
experiments ^nns+nom+++=experiments
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
equations ^nns+nom+++=equations
which ^whp+rel+subj++=which
make ^vb++++=make
it ^pp3+it+++=it
possible ^jj++++=possible
to ^to+jcmp+++=to
sort ^vb++++=sort
out ^rp+pl+++=out
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
intravs ^nns+++??+=intravs.
. ^zz++++=EXTRAWORD
interspecific ^jj+atrb+++=interspecific
competition ^nn+nom+++=competition
( ^zz++++=(Park
park ^npl++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Establishing ^vbg+++xvbg+=Establishing
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
plant ^nn++++=plant
species ^nn++++=species
interactions ^nns+nom+++=interactions
has ^vbz+hvz+vrb++=has
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
implications ^nns+nom+++=implications
for ^in++++=for
farming ^xvbg+++xvbg+=farming
( ^zz++++=(weed-crop
weed ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
crop ^nn++++=EXTRAWORD
competition ^nn+nom+++=competition),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
plant ^nn++++=plant
conservation ^nn+nom+++=conservation
and ^cc++++=and
the ^ati++++=the
management ^nn+nom+++=management
of ^in++++=of
invasive ^jj+atrb+++=invasive
species ^nns++++=species.
. ^zz++++=EXTRAWORD
By ^in++++=By
understanding ^xvbg+++xvbg+=understanding
how ^wrb+who+++=how
different ^jj+atrb+++=different
environmental ^jj+atrb+++=environmental
conditions ^nns+nom+++=conditions
affect ^vb++++=affect
these ^dt+dem+++=these
interactions ^nns+nom+++=interactions,
, ^zz++++=EXTRAWORD
ecologists ^nns+nom+++=ecologists
will ^md+prd+++=will
be ^vb+be+vrb++=be
better ^jjr++++=better
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
use ^vb++++=use
this ^dt+dem+++=this
knowledge ^vb++++=knowledge
to ^to+vcmp+++=to
their ^pp$+pp3+++=their
advantage ^nn+nom+++=advantage
in ^in++++=in
creating ^xvbg+++xvbg+=creating
environments ^nns+nom+++=environments
which ^whp+rel+subj++=which
allow ^vb++++=allow
for ^in+ppvb+++=for
a ^at++++=a
particular ^jj+atrb+++=particular
target ^nn++++=target
species ^nns++++=species
to ^in++++=to
have ^vbi++vrb++=have
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
competitive ^jj+atrb+++=competitive
advantage ^nn+nom+++=advantage.
. ^zz++++=EXTRAWORD
