Genetic ^jj+atrb+++=GENETIC
crosses ^nns++++=crosses,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
scored ^vbd+++xvbn+=scored
would ^md+prd+++=would
help ^vb++++=help
show ^vb+vprv+++=show
only ^rb+down+++=only
if ^cs+cnd+++=if
the ^ati++++=the
mutant ^jj+atrb+++=mutant
genes ^nns++++=genes
were ^vbd+bed+vrb++=were
dominant ^jj+pred+++=dominant
or ^cc++++=or
recessive ^nn++++=recessive.
. ^zz++++=EXTRAWORD
A ^at++++=A
secondary ^jj+atrb+++=secondary
backcross ^nns+++??+=backcross
of ^in++++=of
the ^ati++++=the
male ^jj+atrb+++=male
progeny ^nn++++=progeny
of ^in++++=of
these ^dt+dem+++=these
crosses ^nns++++=crosses
with ^in++++=with
unknown ^jj+atrb+++=unknown
virgin ^jjb+atrb+++=virgin
females ^nns++++=females
was ^vbd+bedz+vrb++=was
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
determine ^vbi++++=determine
which ^whp+who+++=which
chromosome ^nn++++=chromosome
the ^ati++++=the
genes ^nns++++=genes
were ^vbd+bed+vrb++=were
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Notably ^rb++++=Notably
absent ^jj++++=absent
for ^in++++=for
all ^abn++++=all
the ^ati++++=the
crosses ^nn++++=crosses
described ^vbd+++xvbn+=described
here ^rn+pl+++=here
is ^vbz+bez+vrb++=is
an ^at++++=an
emphasis ^nn++++=emphasis
on ^in++++=on
autosome ^nn+++??+=autosome
Iv ^np+++??+=IV;
; ^zz++++=EXTRAWORD
since ^cs+sub+++=since
this ^dt+dem+++=this
autosome ^nn+++??+=autosome
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
small ^jj++++=small
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
likely ^jj++++=likely
that ^tht+jcmp+++=that
these ^dt+dem+++=these
mutations ^nns+nom+++=mutations'
' ^zz++++=EXTRAWORD
loci ^nn+++??+=loci
are ^vb+ber+vrb++=are
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Materials ^nns+nom+++=MATERIALS
And ^cc++++=AND
Methods ^nns++++=METHODS:
: ^zz++++=EXTRAWORD
The ^ati++++=The
crosses ^nns++++=crosses
and ^cc++++=and
scoring ^nvbg+++xvbg+=scoring
were ^vbd+bed+aux++=were
done ^vpsv++agls+xvbnx+=done
over ^rb+phrv+++=over
a ^at++++=a
series ^nn++++=series
of ^in++++=of
seven ^cd++++=seven
weeks ^nns++++=weeks
and ^cc++++=and
all ^abn++++=all
flies ^nns++++=flies
for ^in++++=for
all ^abn++++=all
crosses ^vbz++++=crosses
were ^vbd+bed+aux++=were
grown ^vpsv++agls+xvbnx+=grown
at ^rb++++=at
24 ^cd++++=24
C ^zz++++=C.
. ^zz++++=EXTRAWORD
All ^abn++++=All
flies ^nns++++=flies
were ^vbd+bed+aux++=were
anesthetized ^vpsv++agls+xvbnx+=anesthetized
using ^vbg+++xvbg+=using
Co2 ^np+++??+=CO2
and ^cc++++=and
inspected ^vpsv++agls+xvbn+=inspected
under ^in++++=under
a ^at++++=a
dissecting ^jj+atrb++xvbg+=dissecting
or ^cc+phrs+++=or
stereoscopic ^jj+atrb+++=stereoscopic
microscope ^nn++++=microscope
while ^cs+sub+++=while
on ^in++++=on
Co2 ^np+++??+=CO2
pads ^nns+++??+=pads.
. ^zz++++=EXTRAWORD
The ^ati++++=The
average ^jj+atrb+++=average
time ^nn++++=time
sedated ^vbd+++xvbn+=sedated
was ^vbd+bedz+aux++=was
minimized ^vpsv++agls+xvbnx+=minimized
to ^to++++=to
prevent ^vbi++++=prevent
sterility ^nn+nom+++=sterility.
. ^zz++++=EXTRAWORD
Flies ^nns++++=Flies
were ^vbd+bed+aux++=were
handled ^vpsv++agls+xvbnx+=handled
with ^in++++=with
small ^jj+atrb+++=small
brushes ^nns++++=brushes
and ^cc++++=and
prodding ^jj+++xvbg+=prodding
needles ^nps++++=needles;
; ^zz++++=EXTRAWORD
for ^in++++=for
specifics ^nns++++=specifics
on ^in++++=on
fly ^nn++++=fly
handling ^vwbg+++xvbg+=handling
please ^uh++++=please
see ^vb+vprv+++=see
Jeyabalan ^np+nom++??+=Jeyabalan
( ^zz++++=(2005).
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
total ^nn++++=total
five ^cd++++=five
different ^jj+atrb+++=different
cultures ^nns++++=cultures
of ^in++++=of
flies ^nns++++=flies
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used:
: ^zz++++=EXTRAWORD
Oregon ^np+++??+=Oregon-R
- ^zz++++=EXTRAWORD
r ^zz++++=EXTRAWORD
( ^zz++++=(Ore-R)
ore ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
r ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
type ^nn++++=type
wilds ^nns+++??+=wilds,
, ^zz++++=EXTRAWORD
unknown ^jj+atrb+++=unknown
culture ^nn++++=culture
U ^zz++++=U-5343,
- ^zz++++=EXTRAWORD
5343 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
marker ^nn++++=marker
stocks ^nns++++=stocks
labeled ^vbd+++xvbn+=labeled
M ^zz++++=M-I,
- ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
, ^zz++++=EXTRAWORD
M ^zz++++=M-II,
- ^zz++++=EXTRAWORD
ii ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
M ^zz++++=M-III.
- ^zz++++=EXTRAWORD
iii ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
Ore ^nn++++=Ore-R
- ^zz++++=EXTRAWORD
r ^zz++++=EXTRAWORD
stocks ^nns++++=stocks
and ^cc++++=and
eight ^cd++++=eight
mutant ^nn++++=mutant
stocks ^nns++++=stocks
were ^vbd+bed+aux++=were
initially ^rb+tm+splt++=initially
provided ^vpsv++agls+xvbnx+=provided.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
new ^jj+atrb+++=new
cultures ^nns++++=cultures
of ^in++++=of
U ^zz++++=U-5343
- ^zz++++=EXTRAWORD
5343 ^cd++++=EXTRAWORD
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made
during ^in++++=during
the ^ati++++=the
experiment ^nn+nom+++=experiment
to ^to++++=to
maintain ^vbi+vpub+++=maintain
the ^ati++++=the
stock ^nn++++=stock
for ^in++++=for
later ^rbr+tm+++=later
backcrosses ^nns+++??+=backcrosses.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
continuous ^jj+atrb+++=continuous
access ^nn++++=access
to ^in++++=to
all ^abn++++=all
marker ^nn++++=marker
stocks ^nns++++=stocks.
. ^zz++++=EXTRAWORD
Wild ^jj++++=Wild-type
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
flies ^nns++++=flies
were ^vbd+bed+aux++=were
phenotypically ^rb++splt++=phenotypically
described ^vpsv++agls+xvbnx+=described
as ^ql++++=as:
: ^zz++++=EXTRAWORD
tan ^nn++++=tan
bodied ^vbd+++xvbn+=bodied,
, ^zz++++=EXTRAWORD
red ^jj+atrb+++=red
eyed ^jj+atrb++xvbn+=eyed,
, ^zz++++=EXTRAWORD
full ^jj+atrb+++=full
wing ^nn++++=wing
venation ^nn+nom+++=venation
with ^in++++=with
straight ^jj+atrb+++=straight
wings ^nns++++=wings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
normal ^jj+atrb+++=normal
straight ^jj+atrb+++=straight
bristles ^nns++++=bristles.
. ^zz++++=EXTRAWORD
U ^zz++++=U-5343
- ^zz++++=EXTRAWORD
5343 ^cd++++=EXTRAWORD
flies ^nns++++=flies
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
to ^to++++=to
be ^vbi++vrb++=be
black ^jj++++=black
bodied ^jj+++xvbn+=bodied
with ^in++++=with
white ^jj+atrb+++=white
eyes ^nns++++=eyes
and ^cc++++=and
lacked ^vbd+++xvbn+=lacked
a ^at++++=a
complete ^jj+atrb+++=complete
Lii ^np+++??+=LII
and ^cc++++=and
Liv ^np+++??+=LIV
longitudinal ^jj+atrb+++=longitudinal
veins ^nns++++=veins
( ^zz++++=(failing
failing ^vbg+nom++xvbg+=EXTRAWORD
to ^to+vcmp+++=to
reach ^vbi++++=reach
margin ^nn++++=margin);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
wild ^jj+pred+++=wild-type
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
for ^in++++=for
all ^abn++++=all
marker ^nn++++=marker
genes ^nns++++=genes.
. ^zz++++=EXTRAWORD
M ^zz++++=M-I
- ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
flies ^nns++++=flies
were ^vbd+bed+vrb++=were
wild ^jj+pred+++=wild-type
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
expect ^vb+vprv+++=expect
for ^in++++=for
the ^ati++++=the
following ^jj+atrb++xvbg+=following
traits ^nns++++=traits:
: ^zz++++=EXTRAWORD
crossvienless ^jj++++=crossvienless
( ^zz++++=(cv
cv ^nn+++??+=EXTRAWORD
X ^zz++++=X-chromosome
- ^zz++++=EXTRAWORD
chromosome ^nn++++=EXTRAWORD
@ ^zz++++=@
13.7 ^cd++++=13.7)
) ^zz++++=EXTRAWORD
and ^cc++++=and
forked ^jj+atrb+++=forked,
, ^zz++++=EXTRAWORD
shortened ^jj+atrb+++=shortened
bristles ^nns++++=bristles
( ^zz++++=(f
f ^zz++++=EXTRAWORD
X ^zz++++=X-chromosome
- ^zz++++=EXTRAWORD
chromosome ^nn++++=EXTRAWORD
@ ^zz++++=@
56.7 ^cd++++=56.7).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
M ^zz++++=M-II
- ^zz++++=EXTRAWORD
ii ^nn+++??+=EXTRAWORD
flies ^nns++++=flies
were ^vbd+bed+vrb++=were
wild ^jj+pred+++=wild-type
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
expect ^vb+vprv+++=expect
for ^in++++=for
the ^ati++++=the
following ^jj+atrb++xvbg+=following
traits ^nns++++=traits:
: ^zz++++=EXTRAWORD
short ^jj++++=short-thin
- ^zz++++=EXTRAWORD
thin ^jj+atrb+++=EXTRAWORD
bristles ^nns++++=bristles
( ^zz++++=(Bl
bl ^nn+++??+=EXTRAWORD
autosome ^nn+++??+=autosome
Ii ^np+++??+=II
@ ^zz++++=@
54.8 ^cd++++=54.8),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
small ^jj++++=small
' ^zz++++='lobed'
lobed ^jj+++xvbn+=EXTRAWORD
' ^zz++++=EXTRAWORD
eyes ^nns++++=eyes
( ^zz++++=(L
l ^zz++++=EXTRAWORD
autosome ^nn+++??+=autosome
Ii ^np+++??+=II
@ ^zz++++=@
72.0 ^cd++++=72.0),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
curled ^jj+atrb++xvbn+=curled
wings ^nns++++=wings
( ^zz++++=(Cy
cy ^nn+++??+=EXTRAWORD
autosome ^nn+++??+=autosome
Ii ^np+++??+=II
@ ^zz++++=@
6.1 ^cd++++=6.1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
M ^zz++++=M-II
- ^zz++++=EXTRAWORD
ii ^nn+++??+=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
balanced ^jj+++xvbn+=balanced-lethal
- ^zz++++=EXTRAWORD
lethal ^jj+atrb+++=EXTRAWORD
culture ^nn++++=culture
so ^ql++++=so
all ^abn++++=all
flies ^nns++++=flies
showed ^vbd+vprv++xvbn+=showed
a ^at++++=a
Bl ^np+++??+=Bl
L ^zz++++=L/Cy
genotype ^nn+++??+=genotype.
. ^zz++++=EXTRAWORD
M ^zz++++=M-III
- ^zz++++=EXTRAWORD
iii ^nn+++??+=EXTRAWORD
flies ^nns++++=flies
were ^vbd+bed+vrb++=were
wild ^jj+pred+++=wild-type
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
expect ^vb+vprv+++=expect
for ^in++++=for
the ^ati++++=the
following ^jj+atrb++xvbg+=following
traits ^nns++++=traits:
: ^zz++++=EXTRAWORD
small ^jj++++=small
' ^zz++++='smooth'
smooth ^jj++++=EXTRAWORD
' ^zz++++=EXTRAWORD
eyes ^nns++++=eyes
( ^zz++++=(Gl
gl ^nn+++??+=EXTRAWORD
autosome ^nn+++??+=autosome
Iii ^np+++??+=III
@ ^zz++++=@
41.4 ^cd++++=41.4)
) ^zz++++=EXTRAWORD
and ^cc++++=and
short ^jj+atrb+++=short
blunt ^np++++=blunt
bristles ^nns++++=bristles
( ^zz++++=(Sb
sb ^nn+++??+=EXTRAWORD
autosome ^nn+++??+=autosome
Iii ^np+++??+=III
@ ^zz++++=@
58.2 ^cd++++=58.2)
) ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
inversion ^nn++++=inversion
known ^vbd+vprv++xvbn+=known
as ^ql++++=as
Lvm ^np+++??+=LVM
present ^jj++++=present
( ^zz++++=(autosome
autosome ^nn+++??+=EXTRAWORD
Iii ^np+++??+=III
lethal ^jj+atrb+++=lethal
balancing ^nn++++=balancing
inversion ^nn++++=inversion),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
non ^&fw++++=non-phenotypically
- ^zz++++=EXTRAWORD
phenotypically ^rb++++=EXTRAWORD
expressed ^jj+atrb++xvbn+=expressed
trait ^nn++++=trait.
. ^zz++++=EXTRAWORD
Again ^rb+cnj+++=Again,
, ^zz++++=EXTRAWORD
M ^zz++++=M-III
- ^zz++++=EXTRAWORD
iii ^nn+++??+=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
balanced ^jj+++xvbn+=balanced-lethal
- ^zz++++=EXTRAWORD
lethal ^jj+atrb+++=EXTRAWORD
culture ^nn++++=culture
so ^ql++++=so
all ^abn++++=all
flies ^nns++++=flies
showed ^vbd+vprv++xvbn+=showed
a ^at++++=a
Gl ^np+++??+=Gl
Sb ^np+++??+=Sb/LVM
genotype ^nn+++??+=genotype.
. ^zz++++=EXTRAWORD
All ^abn++++=All
cultures ^nns++++=cultures
were ^vbd+bed+vrb++=were
true ^jj+atrb+++=true
breeding ^nvbg+++xvbg+=breeding.
. ^zz++++=EXTRAWORD
For ^in++++=For
more ^ql++++=more
details ^nns++++=details
about ^in++++=about
mark ^vb++++=mark
stocks ^nns++++=stocks
and ^cc++++=and
traits ^nns++++=traits
see ^vb+vprv+++=see
Jeyabalan ^np+nom++??+=Jeyabalan
( ^zz++++=(2005)
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Concerning ^in++++=Concerning
the ^ati++++=the
crosses ^vbz++++=crosses
in ^rb++++=in
general ^rb"++++=general,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
virgin ^jjb+atrb+++=virgin
females ^nns++++=females
were ^vbd+bed+aux++=were
needed ^vpsv++agls+xvbnx+=needed
all ^abn++++=all
flies ^nns++++=flies
were ^vbd+bed+aux++=were
removed ^vpsv++agls+xvbnx+=removed
from ^in++++=from
source ^nn++++=source
bottle ^nn++++=bottle
and ^cc++++=and,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
6 ^zz++++=6-8
- ^zz++++=EXTRAWORD
8 ^zz++++=EXTRAWORD
hours ^nns++++=hours
later ^rbr+tm+++=later
virgin ^jjb+atrb+++=virgin
females ^nns++++=females
were ^vbd+bed+aux++=were
harvested ^vwbn+++xvbn+=harvested.
. ^zz++++=EXTRAWORD
For ^in++++=For
all ^abn++++=all
crosses ^vbz++++=crosses
parent ^nn++++=parent
flies ^nns++++=flies
were ^vbd+bed+aux++=were
removed ^vpsv++agls+xvbnx+=removed
from ^in++++=from
bottles ^nns++++=bottles
8 ^zz++++=8-10
- ^zz++++=EXTRAWORD
10 ^cd++++=EXTRAWORD
days ^nns++++=days
after ^cs+sub+++=after
the ^ati++++=the
cross ^nn++++=cross
and ^cc++++=and
all ^abn++++=all
flies ^nns++++=flies
were ^vbd+bed+aux++=were
scored ^vpsv++agls+xvbnx+=scored
14 ^cd++++=14-20
- ^zz++++=EXTRAWORD
20 ^cd++++=EXTRAWORD
days ^nns++++=days
after ^in++++=after
the ^ati++++=the
cross ^nn++++=cross.
. ^zz++++=EXTRAWORD
All ^abn++++=All
crosses ^vbz++++=crosses
were ^vbd+bed+aux++=were
done ^vpsv++agls+xvbnx+=done
in ^in++++=in
duplicate ^nn+nom+++=duplicate
unless ^cs+cnd+++=unless
otherwise ^rb+cnj+++=otherwise
indicated ^vbd+vprv++xvbn+=indicated.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
scoring ^nvbg+++xvbg+=scoring,
, ^zz++++=EXTRAWORD
body ^nn++++=body
color ^nn++++=color,
, ^zz++++=EXTRAWORD
eye ^nn++++=eye
color ^nn++++=color,
, ^zz++++=EXTRAWORD
wing ^nn++++=wing
venation ^nn+nom+++=venation,
, ^zz++++=EXTRAWORD
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
relevant ^jj+atrb+++=relevant
marker ^nn++++=marker
traits ^nns++++=traits
were ^vbd+bed+vrb++=were
all ^abn++++=all
recorded ^jj+++xvbn+=recorded.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See
appendix ^nn++++=appendix
( ^zz++++=(skeletal
skeletal ^jj+atrb+++=EXTRAWORD
report ^nn++++=report)
) ^zz++++=EXTRAWORD
for ^in++++=for
scoring ^xvbg+++xvbg+=scoring
data ^nns++++=data
table ^nn++++=table
structure ^nn++++=structure.
. ^zz++++=EXTRAWORD
Cross ^nn++++=Cross
A ^at++++=A:
: ^zz++++=EXTRAWORD
unknown ^jj+atrb+++=unknown
virgin ^jjb+atrb+++=virgin
females ^nns++++=females
were ^vbd+bed+aux++=were
crossed ^vpsv++agls+xvbnx+=crossed
with ^in++++=with
wild ^jj++++=wild-type
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
males ^nns++++=males,
, ^zz++++=EXTRAWORD
F1 ^np+++??+=F1
flies ^nns++++=flies
were ^vbd+bed+aux++=were
scored ^vpsv++agls+xvbnx+=scored.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
F1 ^np+++??+=F1
generation ^nn+nom+++=generation,
, ^zz++++=EXTRAWORD
flies ^nns++++=flies
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
and ^cc+phrs+++=and
placed ^vpsv++agls+xvbn+=placed
into ^in++++=into
a ^at++++=a
new ^jj+atrb+++=new
bottle ^nn++++=bottle
for ^in++++=for
the ^ati++++=the
F1xf1 ^np+++??+=F1xF1
of ^in++++=of
Cross ^nn++++=Cross
A ^at++++=A.
. ^zz++++=EXTRAWORD
F2 ^np+++??+=F2
flies ^nns++++=flies
were ^vbd+bed+aux++=were
scored ^vpsv++agls+xvbnx+=scored.
. ^zz++++=EXTRAWORD
Cross ^nn++++=Cross
B ^zz++++=B:
: ^zz++++=EXTRAWORD
unknown ^jj+atrb+++=unknown
virgin ^jjb+atrb+++=virgin
females ^nns++++=females
were ^vbd+bed+aux++=were
crossed ^vpsv++agls+xvbnx+=crossed
with ^in++++=with
wild ^jj++++=wild-type
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
males ^nns++++=males,
, ^zz++++=EXTRAWORD
F1 ^np+++??+=F1
flies ^nns++++=flies
were ^vbd+bed+aux++=were
scored ^vpsv++agls+xvbnx+=scored.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
F1 ^np+++??+=F1
generation ^nn+nom+++=generation,
, ^zz++++=EXTRAWORD
flies ^nns++++=flies
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
and ^cc+phrs+++=and
placed ^vpsv++agls+xvbn+=placed
into ^in++++=into
a ^at++++=a
new ^jj+atrb+++=new
bottle ^nn++++=bottle
for ^in++++=for
the ^ati++++=the
F1xf1 ^np+++??+=F1xF1
of ^in++++=of
Cross ^nn++++=Cross
B ^zz++++=B.
. ^zz++++=EXTRAWORD
F2 ^np+++??+=F2
flies ^nns++++=flies
were ^vbd+bed+aux++=were
scored ^vpsv++agls+xvbnx+=scored.
. ^zz++++=EXTRAWORD
Marker ^np+++??+=Marker
Cross ^nn++++=Cross
I ^pp1a+pp1+++=I:
: ^zz++++=EXTRAWORD
unknown ^jj+atrb+++=unknown
virgin ^jjb+atrb+++=virgin
females ^nns++++=females
were ^vbd+bed+aux++=were
crossed ^vpsv++agls+xvbnx+=crossed
with ^in++++=with
M ^zz++++=M-I
- ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
males ^nns++++=males,
, ^zz++++=EXTRAWORD
F1 ^np+++??+=F1
flies ^nns++++=flies
were ^vbd+bed+aux++=were
scored ^vpsv++agls+xvbnx+=scored.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
F1 ^np+++??+=F1
generation ^nn+nom+++=generation,
, ^zz++++=EXTRAWORD
flies ^nns++++=flies
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
and ^cc+phrs+++=and
placed ^vpsv++agls+xvbn+=placed
into ^in++++=into
a ^at++++=a
new ^jj+atrb+++=new
bottle ^nn++++=bottle
for ^in++++=for
the ^ati++++=the
F1xf1 ^np+++??+=F1xF1
of ^in++++=of
Cross ^nn++++=Cross
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
F2 ^np+++??+=F2
flies ^nns++++=flies
were ^vbd+bed+aux++=were
scored ^vpsv++agls+xvbnx+=scored.
. ^zz++++=EXTRAWORD
Marker ^np+++??+=Marker
Cross ^np++++=Cross
Ii ^np+++??+=II:
: ^zz++++=EXTRAWORD
unknown ^jj+atrb+++=unknown
virgin ^jjb+atrb+++=virgin
females ^nns++++=females
were ^vbd+bed+aux++=were
crossed ^vpsv++agls+xvbnx+=crossed
with ^in++++=with
M ^zz++++=M-II
- ^zz++++=EXTRAWORD
ii ^nn+++??+=EXTRAWORD
type ^nn++++=type
males ^nns++++=males,
, ^zz++++=EXTRAWORD
F1 ^np+++??+=F1
flies ^nns++++=flies
were ^vbd+bed+aux++=were
scored ^vpsv++agls+xvbnx+=scored.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
F1 ^np+++??+=F1
generation ^nn+nom+++=generation,
, ^zz++++=EXTRAWORD
Bl ^np+++??+=Bl
L ^zz++++=L/Cy+
male ^jj+atrb+++=male
flies ^nns++++=flies
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
and ^cc+phrs+++=and
crossed ^vpsv++agls+xvbn+=crossed
with ^in++++=with
unknown ^jj+atrb+++=unknown
virgin ^jjb+atrb+++=virgin
females ^nns++++=females
a ^at++++=a
male ^jj+atrb+++=male
backcross ^nns+++??+=backcross.
. ^zz++++=EXTRAWORD
Cross ^nn++++=Cross
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
done ^vbd+++xvbn+=done
in ^in++++=in
duplicate ^nn+nom+++=duplicate.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
Bl ^np+++??+=Bl+
+ ^zz++++=EXTRAWORD
L ^zz++++=L+/Cy
+ ^zz++++=EXTRAWORD
male ^jj+atrb+++=male
flies ^nns++++=flies
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
and ^cc+phrs+++=and
crossed ^vpsv++agls+xvbn+=crossed
with ^in++++=with
unknown ^jj+atrb+++=unknown
virgin ^jjb+atrb+++=virgin
females ^nns++++=females
not ^xnot++not++=not
done ^vbd+++xvbn+=done
in ^in++++=in
duplicate ^nn+nom+++=duplicate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
cross ^vb++++=cross
yielded ^vbd+++xvbn+=yielded
offspring ^nn++++=offspring
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
scored ^vpsv++agls+xvbnx+=scored.
. ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
cross ^nn++++=cross
yielded ^vbd+++xvbn+=yielded
no ^at++++=no
offspring ^nn++++=offspring,
, ^zz++++=EXTRAWORD
so ^ql++++=so
no ^at++++=no
flies ^nns++++=flies
were ^vbd+bed+aux++=were
scored ^vpsv++agls+xvbnx+=scored.
. ^zz++++=EXTRAWORD
Marker ^np+++??+=Marker
Cross ^np++++=Cross
Iii ^np+++??+=III:
: ^zz++++=EXTRAWORD
unknown ^jj+atrb+++=unknown
virgin ^jjb+atrb+++=virgin
females ^nns++++=females
were ^vbd+bed+aux++=were
crossed ^vpsv++agls+xvbnx+=crossed
with ^in++++=with
M ^zz++++=M-III
- ^zz++++=EXTRAWORD
iii ^nn+++??+=EXTRAWORD
type ^nn++++=type
males ^nns++++=males,
, ^zz++++=EXTRAWORD
F1 ^np+++??+=F1
flies ^nns++++=flies
were ^vbd+bed+aux++=were
scored ^vpsv++agls+xvbnx+=scored.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
F1 ^np+++??+=F1
generation ^nn+nom+++=generation,
, ^zz++++=EXTRAWORD
Gl ^np+++??+=Gl
Sb ^np+++??+=Sb/LVM+
male ^jj+atrb+++=male
flies ^nns++++=flies
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
and ^cc+phrs+++=and
crossed ^vpsv++agls+xvbn+=crossed
with ^in++++=with
unknown ^jj+atrb+++=unknown
virgin ^jjb+atrb+++=virgin
females ^nns++++=females
a ^at++++=a
male ^jj+atrb+++=male
backcross ^nns+++??+=backcross.
. ^zz++++=EXTRAWORD
The ^ati++++=The
male ^jj+atrb+++=male
backcross ^nns+++??+=backcross
progeny ^nn++++=progeny
were ^vbd+bed+aux++=were
scored ^vpsv++agls+xvbnx+=scored.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
all ^abn++++=all
the ^ati++++=the
data ^nns++++=data
was ^vbd+bedz+aux++=was
collected ^vpsv++agls+xvbnx+=collected,
, ^zz++++=EXTRAWORD
the ^ati++++=the
unneeded ^jj+atrb++xvbn+=unneeded
flies ^nns++++=flies
were ^vbd+bed+aux++=were
euthanized ^vpsv++agls+xvbnx+=euthanized
and ^cc+phrs+++=and
discarded ^vpsv++agls+xvbn+=discarded
in ^in++++=in
a ^at++++=a
humane ^jj+atrb+++=humane
fashion ^nn++++=fashion.
. ^zz++++=EXTRAWORD
Results ^nns++++=RESULTS
And ^cc++++=AND
Discussion ^nn++++=DISCUSSION:
: ^zz++++=EXTRAWORD
In ^rb++++=In
general ^rb"++++=general,
, ^zz++++=EXTRAWORD
all ^abn++++=all
but ^cc++++=but
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
crosses ^nns++++=crosses
went ^vbd+++xvbn+=went
as ^cs+sub+++=as
expected ^vbd+vprv++xvbn+=expected
and ^cc++++=and
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
no ^at++++=no
major ^jj+atrb+++=major
problems ^nns++++=problems
with ^in++++=with
determining ^xvbg+++xvbg+=determining
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
genes ^nns++++=genes
involved ^vbd+++xvbn+=involved
in ^in++++=in
the ^ati++++=the
U ^zz++++=U-5343
- ^zz++++=EXTRAWORD
